panel,draw,t,x,a,y
1,65,1.0,0.5,1.8,1.5010380666460819
1,66,1.0,0.5,1.8,1.414340235287035
1,67,1.0,0.5,1.8,1.29542029614982
1,68,1.0,0.5,1.8,0.4665034057228819
1,69,1.0,0.5,1.8,0.9543610130970844
1,70,1.0,0.5,1.8,0.571754530899007
1,71,1.0,0.5,1.8,0.7837502361905838
1,72,1.0,0.5,1.8,0.9159086015543209
1,73,1.0,0.5,1.8,1.3406597651247554
1,74,1.0,0.5,1.8,0.05892626715657196
1,75,1.0,0.5,1.8,0.8803658521564669
1,76,1.0,0.5,1.8,0.48385401904172615
1,77,1.0,0.5,1.8,1.5325806067094399
1,78,1.0,0.5,1.8,0.30260935338893186
1,79,1.0,0.5,1.8,0.840189373663307
1,80,1.0,0.5,1.8,1.2671412323386746
1,81,1.0,0.5,1.8,1.5270860955901036
1,82,1.0,0.5,1.8,0.846387061684444
1,83,1.0,0.5,1.8,1.2911010163472993
1,84,1.0,0.5,1.8,0.9759499899203119
1,85,1.0,0.5,1.8,0.5545729983624779
1,86,1.0,0.5,1.8,0.4409067324399049
1,87,1.0,0.5,1.8,0.3833252872064622
1,88,1.0,0.5,1.8,0.5089997583522811
1,89,1.0,0.5,1.8,0.6192265806332199
1,90,1.0,0.5,1.8,0.8434636099423058
1,91,1.0,0.5,1.8,1.286801582772768
1,92,1.0,0.5,1.8,0.8193332101881425
1,93,1.0,0.5,1.8,1.1861977591974402
1,94,1.0,0.5,1.8,1.4094313631124593
1,95,1.0,0.5,1.8,1.6371197903614882
1,96,1.0,0.5,1.8,1.1724654862605275
1,97,1.0,0.5,1.8,0.7880042859306281
1,98,1.0,0.5,1.8,0.8644279420677576
1,99,1.0,0.5,1.8,0.7313149318641391
1,100,1.0,0.5,1.8,0.6310269774363496
1,101,1.0,0.5,1.8,0.7835450797934338
1,102,1.0,0.5,1.8,0.8349723471924606
1,103,1.0,0.5,1.8,1.6746915787592398
1,104,1.0,0.5,1.8,0.24082969322831319
1,105,1.0,0.5,1.8,0.6869770520941199
1,106,1.0,0.5,1.8,0.5682811599568811
1,107,1.0,0.5,1.8,1.0965893319645408
1,108,1.0,0.5,1.8,0.8809035739617379
1,109,1.0,0.5,1.8,1.466418434228934
1,110,1.0,0.5,1.8,1.5940704780008237
1,111,1.0,0.5,1.8,1.4908842775302402
1,112,1.0,0.5,1.8,1.087628457805774
1,113,1.0,0.5,1.8,1.2777471314447184
1,114,1.0,0.5,1.8,1.1717186429695294
1,115,1.0,0.5,1.8,1.201608760883632
1,116,1.0,0.5,1.8,1.2111707851862499
1,117,1.0,0.5,1.8,0.5783271564860857
1,118,1.0,0.5,1.8,0.5217311940316961
1,119,1.0,0.5,1.8,0.8700416644024516
1,120,1.0,0.5,1.8,0.47736657801432175
1,121,1.0,0.5,1.8,0.20143136676724616
1,122,1.0,0.5,1.8,1.345962708024123
1,123,1.0,0.5,1.8,0.1983885360263314
1,124,1.0,0.5,1.8,1.0629059621425196
1,125,1.0,0.5,1.8,0.3972660367285656
1,126,1.0,0.5,1.8,1.4527194865880881
1,127,1.0,0.5,1.8,1.2001561464168842
1,128,1.0,0.5,1.8,0.7544751357047129
1,129,1.0,0.5,1.8,0.48413571418474954
1,130,1.0,0.5,1.8,0.7416679863928475
1,131,1.0,0.5,1.8,0.4209195178477155
1,132,1.0,0.5,1.8,1.121509801994165
1,133,1.0,0.5,1.8,0.5216653622451793
1,134,1.0,0.5,1.8,0.7392142456201827
1,135,1.0,0.5,1.8,0.7593887202873747
1,136,1.0,0.5,1.8,0.46676937819677344
1,137,1.0,0.5,1.8,1.3990733757629015
1,138,1.0,0.5,1.8,1.2407878186460475
1,139,1.0,0.5,1.8,0.5615102901506263
1,140,1.0,0.5,1.8,0.11559655499944432
1,141,1.0,0.5,1.8,0.9296422429779765
1,142,1.0,0.5,1.8,0.9642670271032724
1,143,1.0,0.5,1.8,1.2265060514593704
1,144,1.0,0.5,1.8,1.3966769694038894
1,145,1.0,0.5,1.8,1.091672358991422
1,146,1.0,0.5,1.8,1.0459005644435089
1,147,1.0,0.5,1.8,1.6399018461193633
1,148,1.0,0.5,1.8,0.6930484405219576
1,149,1.0,0.5,1.8,1.1334802609774477
1,150,1.0,0.5,1.8,1.6358434905704056
1,151,1.0,0.5,1.8,0.5604465921689308
1,152,1.0,0.5,1.8,0.8614717768089555
1,153,1.0,0.5,1.8,0.4527959100958208
1,154,1.0,0.5,1.8,0.286304076102303
1,155,1.0,0.5,1.8,0.47941761341740413
1,156,1.0,0.5,1.8,1.3704773247349118
1,157,1.0,0.5,1.8,1.0660316245190748
1,158,1.0,0.5,1.8,0.06946230161834921
1,159,1.0,0.5,1.8,1.2460554101174657
1,160,1.0,0.5,1.8,0.5031342043700595
1,161,1.0,0.5,1.8,0.6520958467785352
1,162,1.0,0.5,1.8,1.5058210556670204
1,163,1.0,0.5,1.8,1.3488250351189401
1,164,1.0,0.5,1.8,0.5079269993520319
1,165,1.0,0.5,1.8,1.3529329693975678
1,166,1.0,0.5,1.8,0.46683483149098015
1,167,1.0,0.5,1.8,1.6819830822091426
1,168,1.0,0.5,1.8,1.2336169336692604
1,169,1.0,0.5,1.8,0.7963945025723498
1,170,1.0,0.5,1.8,0.6328210116765532
1,171,1.0,0.5,1.8,1.406209509668623
1,172,1.0,0.5,1.8,0.1016463582615619
1,173,1.0,0.5,1.8,1.6028664091726024
1,174,1.0,0.5,1.8,0.49589269915628365
1,175,1.0,0.5,1.8,0.4478512870736625
1,176,1.0,0.5,1.8,0.6264340757721057
1,177,1.0,0.5,1.8,0.8210400812990657
1,178,1.0,0.5,1.8,1.1651682579068472
1,179,1.0,0.5,1.8,0.5834152739023573
1,180,1.0,0.5,1.8,0.9409946450965746
1,181,1.0,0.5,1.8,1.1043232871379236
1,182,1.0,0.5,1.8,1.3349280886759396
1,183,1.0,0.5,1.8,1.5982947270195076
1,184,1.0,0.5,1.8,0.48298253953560244
1,185,1.0,0.5,1.8,0.9239819270597508
1,186,1.0,0.5,1.8,1.1909649192510345
1,187,1.0,0.5,1.8,1.3669533162468828
1,188,1.0,0.5,1.8,0.2474537601022081
1,189,1.0,0.5,1.8,0.713944761374901
1,190,1.0,0.5,1.8,1.4947241660892538
1,191,1.0,0.5,1.8,0.7633878658119337
1,192,1.0,0.5,1.8,0.5966513529798949
1,193,1.0,0.5,1.8,0.9840059125736083
1,194,1.0,0.5,1.8,1.1382634334481532
1,195,1.0,0.5,1.8,1.0739694229542491
1,196,1.0,0.5,1.8,1.7548048368230842
1,197,1.0,0.5,1.8,1.5712959826022632
1,198,1.0,0.5,1.8,0.8409268010556784
1,199,1.0,0.5,1.8,1.1442455424713447
1,200,1.0,0.5,1.8,0.9548488906787302
1,201,1.0,0.5,1.8,0.33338162686395173
1,202,1.0,0.5,1.8,1.2300689976222072
1,203,1.0,0.5,1.8,1.509915329370757
1,204,1.0,0.5,1.8,1.4981507553546367
1,205,1.0,0.5,1.8,0.7591010468468165
1,206,1.0,0.5,1.8,1.3784203588903248
1,207,1.0,0.5,1.8,0.8804725015622663
1,208,1.0,0.5,1.8,0.46852775281785325
1,209,1.0,0.5,1.8,1.141290398969787
1,210,1.0,0.5,1.8,1.172130415802187
1,211,1.0,0.5,1.8,1.528878167435686
1,212,1.0,0.5,1.8,0.9190971431173113
1,213,1.0,0.5,1.8,0.4278023937364053
1,214,1.0,0.5,1.8,0.9722873500440529
1,215,1.0,0.5,1.8,1.5105445660656134
1,216,1.0,0.5,1.8,0.932856014522402
1,217,1.0,0.5,1.8,0.6515574573034495
1,218,1.0,0.5,1.8,1.0580288258238986
1,219,1.0,0.5,1.8,1.1892870168142902
1,220,1.0,0.5,1.8,1.6911582956547844
1,221,1.0,0.5,1.8,0.728752159039324
1,222,1.0,0.5,1.8,0.8857491428181272
1,223,1.0,0.5,1.8,0.7479988714048702
1,224,1.0,0.5,1.8,0.9934912584091888
1,225,1.0,0.5,1.8,1.1006105548409109
1,226,1.0,0.5,1.8,0.9223518077949076
1,227,1.0,0.5,1.8,1.0918910191759865
1,228,1.0,0.5,1.8,0.9851473544738597
1,229,1.0,0.5,1.8,0.21797373403667103
1,230,1.0,0.5,1.8,0.5961264676008926
1,231,1.0,0.5,1.8,0.877187405901002
1,232,1.0,0.5,1.8,1.2283730892256155
1,233,1.0,0.5,1.8,1.1453568394318303
1,234,1.0,0.5,1.8,0.5404775678931343
1,235,1.0,0.5,1.8,1.1397419009041456
1,236,1.0,0.5,1.8,0.8348773836210239
1,237,1.0,0.5,1.8,0.9286290064485981
1,238,1.0,0.5,1.8,0.7400673385253194
1,239,1.0,0.5,1.8,1.4159005850780215
1,240,1.0,0.5,1.8,1.5540879416791222
1,241,1.0,0.5,1.8,1.150882858153357
1,242,1.0,0.5,1.8,0.24611214928203926
1,243,1.0,0.5,1.8,0.4422619697409922
1,244,1.0,0.5,1.8,1.3246426571106933
1,245,1.0,0.5,1.8,1.5965633141254358
1,246,1.0,0.5,1.8,1.273130267721992
1,247,1.0,0.5,1.8,1.7123680608656233
1,248,1.0,0.5,1.8,0.3705377596039801
1,249,1.0,0.5,1.8,0.8753447123008063
1,250,1.0,0.5,1.8,0.5468524454139224
1,251,1.0,0.5,1.8,0.1939742125396168
1,252,1.0,0.5,1.8,0.821690944745061
1,253,1.0,0.5,1.8,1.1701714142551218
1,254,1.0,0.5,1.8,1.5714393478315511
1,255,1.0,0.5,1.8,0.8779418477337535
1,256,1.0,0.5,1.8,0.989161237094412
1,257,1.0,0.5,1.8,0.35312069044377875
1,258,1.0,0.5,1.8,0.9731509229769031
1,259,1.0,0.5,1.8,0.45789515872257164
1,260,1.0,0.5,1.8,1.596123180386062
1,261,1.0,0.5,1.8,0.4365679685573146
1,262,1.0,0.5,1.8,1.1703361693820595
1,263,1.0,0.5,1.8,0.7892035463258574
1,264,1.0,0.5,1.8,0.7199644121752022
1,265,1.0,0.5,1.8,1.346485785465072
1,266,1.0,0.5,1.8,0.8644321674739566
1,267,1.0,0.5,1.8,0.8870281568363786
1,268,1.0,0.5,1.8,1.0637482118967092
1,269,1.0,0.5,1.8,1.564125304763959
1,270,1.0,0.5,1.8,1.0748649330491624
1,271,1.0,0.5,1.8,1.1463867072961267
1,272,1.0,0.5,1.8,0.6955275406768827
1,273,1.0,0.5,1.8,1.2366479397608168
1,274,1.0,0.5,1.8,0.4196936257137958
1,275,1.0,0.5,1.8,0.6286717383851013
1,276,1.0,0.5,1.8,1.1468989816708333
1,277,1.0,0.5,1.8,1.07161306300193
1,278,1.0,0.5,1.8,0.7664968362830841
1,279,1.0,0.5,1.8,1.6222959676962
1,280,1.0,0.5,1.8,0.8670622263873923
1,281,1.0,0.5,1.8,1.5287166091787718
1,282,1.0,0.5,1.8,0.7138340095331215
1,283,1.0,0.5,1.8,0.36294983051360585
1,284,1.0,0.5,1.8,1.3431059998954697
1,285,1.0,0.5,1.8,1.0144016375448894
1,286,1.0,0.5,1.8,0.6586435051351057
1,287,1.0,0.5,1.8,1.0958277179369982
1,288,1.0,0.5,1.8,0.3797131915764128
1,289,1.0,0.5,1.8,0.7222331387204295
1,290,1.0,0.5,1.8,0.5096438614909701
1,291,1.0,0.5,1.8,0.5729246272457028
1,292,1.0,0.5,1.8,0.9311856918837995
1,293,1.0,0.5,1.8,1.431508677248813
1,294,1.0,0.5,1.8,1.1047520262969959
1,295,1.0,0.5,1.8,0.48215992695967147
1,296,1.0,0.5,1.8,1.1445190117543567
1,297,1.0,0.5,1.8,0.16171709152936395
1,298,1.0,0.5,1.8,0.7146932995375418
1,299,1.0,0.5,1.8,1.386462661766793
1,300,1.0,0.5,1.8,1.0520784208352023
1,301,1.0,0.5,1.8,1.078335074065697
1,302,1.0,0.5,1.8,1.7237389748880296
1,303,1.0,0.5,1.8,1.5043287501650353
1,304,1.0,0.5,1.8,0.7689121506766338
1,305,1.0,0.5,1.8,0.7147752028100707
1,306,1.0,0.5,1.8,1.0738814464171063
1,307,1.0,0.5,1.8,1.037112828788775
1,308,1.0,0.5,1.8,1.2299588528256797
1,309,1.0,0.5,1.8,1.4300753315931194
1,310,1.0,0.5,1.8,1.2098485032074817
1,311,1.0,0.5,1.8,0.6050214677067135
1,312,1.0,0.5,1.8,1.653161779178197
1,313,1.0,0.5,1.8,0.4807873252274844
1,314,1.0,0.5,1.8,1.3338214575115521
1,315,1.0,0.5,1.8,0.4455447546233679
1,316,1.0,0.5,1.8,0.26451309811039925
1,317,1.0,0.5,1.8,1.406192521055202
1,318,1.0,0.5,1.8,1.3175127144273624
1,319,1.0,0.5,1.8,0.669169509550469
1,320,1.0,0.5,1.8,0.03328486760222863
1,321,1.0,0.5,1.8,0.788257029121773
1,322,1.0,0.5,1.8,1.3907442363848286
1,323,1.0,0.5,1.8,0.5775661397627339
1,324,1.0,0.5,1.8,1.6040506166128283
1,325,1.0,0.5,1.8,1.040900685804917
1,326,1.0,0.5,1.8,1.561110998473686
1,327,1.0,0.5,1.8,1.329945205465205
1,328,1.0,0.5,1.8,0.46583637421244595
1,329,1.0,0.5,1.8,0.78791642430813
1,330,1.0,0.5,1.8,0.3955513530398511
1,331,1.0,0.5,1.8,0.4811105151089116
1,332,1.0,0.5,1.8,1.1174936413069332
1,333,1.0,0.5,1.8,0.7686239059926296
1,334,1.0,0.5,1.8,0.42373384760577254
1,335,1.0,0.5,1.8,1.5218860793853481
1,336,1.0,0.5,1.8,1.1866724378363642
1,337,1.0,0.5,1.8,1.2257170239842652
1,338,1.0,0.5,1.8,0.8213487930262079
1,339,1.0,0.5,1.8,0.6034733017932116
1,340,1.0,0.5,1.8,0.5914941802774529
1,341,1.0,0.5,1.8,0.9244248888474725
1,342,1.0,0.5,1.8,1.6261111657918481
1,343,1.0,0.5,1.8,1.2278283624807689
1,344,1.0,0.5,1.8,0.5950273377553019
1,345,1.0,0.5,1.8,1.128334186775221
1,346,1.0,0.5,1.8,1.2843682080911194
1,347,1.0,0.5,1.8,0.48303274507593236
1,348,1.0,0.5,1.8,1.1365011314523576
1,349,1.0,0.5,1.8,0.8137147506417514
1,350,1.0,0.5,1.8,0.6592675167630697
1,351,1.0,0.5,1.8,1.2431209821073088
1,352,1.0,0.5,1.8,1.0981320909848866
1,353,1.0,0.5,1.8,0.7162570463744407
1,354,1.0,0.5,1.8,1.5410185406606125
1,355,1.0,0.5,1.8,0.4016555428141614
1,356,1.0,0.5,1.8,0.2963590250270467
1,357,1.0,0.5,1.8,0.37049781269053306
1,358,1.0,0.5,1.8,0.7045163309773573
1,359,1.0,0.5,1.8,0.14135878635418658
1,360,1.0,0.5,1.8,0.6797085051651114
1,361,1.0,0.5,1.8,0.7139782395682329
1,362,1.0,0.5,1.8,0.8286387264874662
1,363,1.0,0.5,1.8,0.788637131999397
1,364,1.0,0.5,1.8,0.8665856036515263
1,365,1.0,0.5,1.8,1.2888682439029884
1,366,1.0,0.5,1.8,1.056399286079812
1,367,1.0,0.5,1.8,0.7083729864933821
1,368,1.0,0.5,1.8,0.9750623172325585
1,369,1.0,0.5,1.8,0.10971413752154195
1,370,1.0,0.5,1.8,0.14783134276497356
1,371,1.0,0.5,1.8,0.9102464549043766
1,372,1.0,0.5,1.8,0.43996825543378637
1,373,1.0,0.5,1.8,1.3855040086964738
1,374,1.0,0.5,1.8,1.2386691164731294
1,375,1.0,0.5,1.8,0.8237260400245603
1,376,1.0,0.5,1.8,0.5372709035025928
1,377,1.0,0.5,1.8,0.4832666011578851
1,378,1.0,0.5,1.8,1.398318931329134
1,379,1.0,0.5,1.8,1.264271929632615
1,380,1.0,0.5,1.8,0.8876671498994024
1,381,1.0,0.5,1.8,1.2299202142477608
1,382,1.0,0.5,1.8,0.9966134468429511
1,383,1.0,0.5,1.8,0.9727106104677091
1,384,1.0,0.5,1.8,1.1766570998125874
1,385,1.0,0.5,1.8,0.5714065125285334
1,386,1.0,0.5,1.8,0.9536447358331993
1,387,1.0,0.5,1.8,1.031415778960059
1,388,1.0,0.5,1.8,0.29524491301104766
1,389,1.0,0.5,1.8,0.8768317804585165
1,390,1.0,0.5,1.8,0.9403843023392269
1,391,1.0,0.5,1.8,0.1983957922175439
1,392,1.0,0.5,1.8,0.20402288814828418
1,393,1.0,0.5,1.8,0.5686315997312649
1,394,1.0,0.5,1.8,0.9420849113491387
1,395,1.0,0.5,1.8,1.3288054624976915
1,396,1.0,0.5,1.8,0.8040883196452647
1,397,1.0,0.5,1.8,1.5261752581024828
1,398,1.0,0.5,1.8,0.663696055527148
1,399,1.0,0.5,1.8,0.33089418555155803
1,400,1.0,0.5,1.8,1.2378901444088837
1,401,1.0,0.5,1.8,1.2634719022833307
1,402,1.0,0.5,1.8,1.2155741232369608
1,403,1.0,0.5,1.8,0.14000829138828236
1,404,1.0,0.5,1.8,1.6303432029583844
1,405,1.0,0.5,1.8,0.2597519234565409
1,406,1.0,0.5,1.8,0.32381227788589934
1,407,1.0,0.5,1.8,0.18530534317995387
1,408,1.0,0.5,1.8,1.1197592661859055
1,409,1.0,0.5,1.8,1.4986324328735596
1,410,1.0,0.5,1.8,0.30097785057782855
1,411,1.0,0.5,1.8,1.2197980358005427
1,412,1.0,0.5,1.8,0.7488056236667636
1,413,1.0,0.5,1.8,1.073341321707165
1,414,1.0,0.5,1.8,1.1092955453323756
1,415,1.0,0.5,1.8,0.4438281449531235
1,416,1.0,0.5,1.8,1.0096452173703452
1,417,1.0,0.5,1.8,0.8340628903751314
1,418,1.0,0.5,1.8,0.8704636715944188
1,419,1.0,0.5,1.8,0.79729295548099
1,420,1.0,0.5,1.8,0.6957698236930934
1,421,1.0,0.5,1.8,0.7745425527574508
1,422,1.0,0.5,1.8,0.9068294396572986
1,423,1.0,0.5,1.8,0.1540888265668653
1,424,1.0,0.5,1.8,0.5694255296000337
1,425,1.0,0.5,1.8,1.6695342669235547
1,426,1.0,0.5,1.8,1.2967902548847476
1,427,1.0,0.5,1.8,1.5335661518477672
1,428,1.0,0.5,1.8,0.3842857835259968
1,429,1.0,0.5,1.8,0.4086458332551662
1,430,1.0,0.5,1.8,1.4012495101035372
1,431,1.0,0.5,1.8,0.4087120345296358
1,432,1.0,0.5,1.8,1.2255854519600928
1,433,1.0,0.5,1.8,0.5233177546198619
1,434,1.0,0.5,1.8,0.9371508482484195
1,435,1.0,0.5,1.8,1.0206701926256228
1,436,1.0,0.5,1.8,0.8958344817475714
1,437,1.0,0.5,1.8,0.4102859283456524
1,438,1.0,0.5,1.8,1.017900138803172
1,439,1.0,0.5,1.8,1.121349719499732
1,440,1.0,0.5,1.8,1.0576760801444178
1,441,1.0,0.5,1.8,1.3641530286260093
1,442,1.0,0.5,1.8,1.5328865107659069
1,443,1.0,0.5,1.8,0.8488827138886712
1,444,1.0,0.5,1.8,0.5992169548133859
1,445,1.0,0.5,1.8,1.5418231669983617
1,446,1.0,0.5,1.8,1.1885391525019087
1,447,1.0,0.5,1.8,1.2963419732593682
1,448,1.0,0.5,1.8,0.8339994725798092
1,449,1.0,0.5,1.8,0.1177719233077979
1,450,1.0,0.5,1.8,0.25985121340568845
1,451,1.0,0.5,1.8,0.7291758933884741
1,452,1.0,0.5,1.8,0.45605867253446714
1,453,1.0,0.5,1.8,0.751527806148213
1,454,1.0,0.5,1.8,1.278754053575271
1,455,1.0,0.5,1.8,0.1745736805253273
1,456,1.0,0.5,1.8,0.058193255635828445
1,457,1.0,0.5,1.8,0.3767085460529407
1,458,1.0,0.5,1.8,1.0965862754081341
1,459,1.0,0.5,1.8,0.0400267368939269
1,460,1.0,0.5,1.8,1.3380204275379322
1,461,1.0,0.5,1.8,0.3048750698635938
1,462,1.0,0.5,1.8,0.38496430763927225
1,463,1.0,0.5,1.8,0.9766116444005895
1,464,1.0,0.5,1.8,0.31475952310715455
1,465,1.0,0.5,1.8,0.42878591589011367
1,466,1.0,0.5,1.8,1.356113332448786
1,467,1.0,0.5,1.8,0.771846858523941
1,468,1.0,0.5,1.8,0.9171410399166398
1,469,1.0,0.5,1.8,0.36304358419669125
1,470,1.0,0.5,1.8,0.4364009813487638
1,471,1.0,0.5,1.8,0.8875645576097252
1,472,1.0,0.5,1.8,0.8793123560755421
1,473,1.0,0.5,1.8,0.44455205664475783
1,474,1.0,0.5,1.8,1.0016214263412853
1,475,1.0,0.5,1.8,0.9829555338467537
1,476,1.0,0.5,1.8,0.997426161505519
1,477,1.0,0.5,1.8,0.823365411342869
1,478,1.0,0.5,1.8,0.8507075993609694
1,479,1.0,0.5,1.8,0.45518356754320205
1,480,1.0,0.5,1.8,1.467722395969162
1,481,1.0,0.5,1.8,1.1366891718135546
1,482,1.0,0.5,1.8,0.3128739846379767
1,483,1.0,0.5,1.8,1.5577560280081513
1,484,1.0,0.5,1.8,0.6053787826006505
1,485,1.0,0.5,1.8,1.319728934508366
1,486,1.0,0.5,1.8,1.570053849714744
1,487,1.0,0.5,1.8,0.9092742303478026
1,488,1.0,0.5,1.8,1.2034302509208916
1,489,1.0,0.5,1.8,0.32738801822983005
1,490,1.0,0.5,1.8,0.6359070211676106
1,491,1.0,0.5,1.8,0.9003425641123732
1,492,1.0,0.5,1.8,1.0185799404893292
1,493,1.0,0.5,1.8,1.061239912517783
1,494,1.0,0.5,1.8,0.8327386927841931
1,495,1.0,0.5,1.8,0.4222925287250317
1,496,1.0,0.5,1.8,1.0527853460015102
1,497,1.0,0.5,1.8,1.5859783984851068
1,498,1.0,0.5,1.8,0.5743233756614595
1,499,1.0,0.5,1.8,0.6816941877003322
1,500,1.0,0.5,1.8,0.5620582763579405
1,501,1.0,0.5,1.8,0.2554452636887998
1,502,1.0,0.5,1.8,0.32858721290538023
1,503,1.0,0.5,1.8,0.4348206546500501
1,504,1.0,0.5,1.8,0.05086330442059234
1,505,1.0,0.5,1.8,0.2678712972502821
1,506,1.0,0.5,1.8,1.1577554318456589
1,507,1.0,0.5,1.8,0.556701125046022
1,508,1.0,0.5,1.8,1.0605747037081878
1,509,1.0,0.5,1.8,0.8248187128634302
1,510,1.0,0.5,1.8,0.5601033044122677
1,511,1.0,0.5,1.8,0.6515721642391944
1,512,1.0,0.5,1.8,0.7987433868219266
1,513,1.0,0.5,1.8,0.768303329732653
1,514,1.0,0.5,1.8,0.8936629540286917
1,515,1.0,0.5,1.8,1.359802978080165
1,516,1.0,0.5,1.8,1.3295943408441167
1,517,1.0,0.5,1.8,0.5300147462592535
1,518,1.0,0.5,1.8,1.1376375571692006
1,519,1.0,0.5,1.8,1.0008710597439192
1,520,1.0,0.5,1.8,0.7350696150598404
1,521,1.0,0.5,1.8,1.0753371590605292
1,522,1.0,0.5,1.8,0.4139494392293857
1,523,1.0,0.5,1.8,1.2302238823989617
1,524,1.0,0.5,1.8,0.75232503092741
1,525,1.0,0.5,1.8,0.8257034493565518
1,526,1.0,0.5,1.8,1.3598600309196236
1,527,1.0,0.5,1.8,1.7021701468914106
1,528,1.0,0.5,1.8,0.049754404190636224
1,529,1.0,0.5,1.8,1.6420174750432943
1,530,1.0,0.5,1.8,0.1134156318649669
1,531,1.0,0.5,1.8,0.7112056195290192
1,532,1.0,0.5,1.8,1.6194294969077752
1,533,1.0,0.5,1.8,0.8021519579591985
1,534,1.0,0.5,1.8,1.4120447552281186
1,535,1.0,0.5,1.8,0.7805880327508277
1,536,1.0,0.5,1.8,0.22833352923525538
1,537,1.0,0.5,1.8,1.120847339377396
1,538,1.0,0.5,1.8,0.7905665005559944
1,539,1.0,0.5,1.8,1.447463367055967
1,540,1.0,0.5,1.8,1.1725489928590027
1,541,1.0,0.5,1.8,1.3234483017309795
1,542,1.0,0.5,1.8,1.3304840692962165
1,543,1.0,0.5,1.8,1.3773258330504543
1,544,1.0,0.5,1.8,1.1096887044998558
1,545,1.0,0.5,1.8,0.6537151888026028
1,546,1.0,0.5,1.8,1.114179900452128
1,547,1.0,0.5,1.8,1.471614168336507
1,548,1.0,0.5,1.8,0.40391676672892374
1,549,1.0,0.5,1.8,0.898440230360386
1,550,1.0,0.5,1.8,0.9227375697107687
1,551,1.0,0.5,1.8,1.152833882391489
1,552,1.0,0.5,1.8,0.4265847438953187
1,553,1.0,0.5,1.8,0.5455652891729282
1,554,1.0,0.5,1.8,0.9528759323336196
1,555,1.0,0.5,1.8,1.275827653177429
1,556,1.0,0.5,1.8,1.0243193582863417
1,557,1.0,0.5,1.8,1.527141982957459
1,558,1.0,0.5,1.8,1.2721272442635576
1,559,1.0,0.5,1.8,0.9388479915016469
1,560,1.0,0.5,1.8,1.2431566517371073
1,561,1.0,0.5,1.8,0.31486396352220875
1,562,1.0,0.5,1.8,1.4445884314459239
